STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 22/2019/GCNCW-VSD,03/09/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
