STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,730.000.000,7.300.000.000.000,67/2011/GCNCP-VSD,10/10/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,270.000.000,2.700.000.000.000,67/2011/GCNCP-VSD-1,30/03/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,62.500.000,625.000.000.000,67/2011/GCNCP-VSD-2,05/02/2013
4,Điều chỉnh lần 3,Đăng ký bổ sung,63.125.000,631.250.000.000,67/2011/GCNCP-VSD-3,11/12/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,33.768.750,337.687.500.000,67/2011/GCNCP-VSD-4,02/10/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,34.781.812,347.818.120.000,67/2011/GCNCP-VSD-5,22/09/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,405.824.438,4.058.244.380.000,67/2011/GCNCP-VSD-6,25/09/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,31.181.818,311.818.180.000,số 67/2011/GCNCP-VSD-7,22/03/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,81.559.091,815.590.910.000,số 67/2011/GCNCP-VSD-8,16/11/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,102.764.454,1.027.644.540.000,67/2011/GCNCP-VSD-9,23/10/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,344.946.018,3.449.460.180.000,67/2011/GCNCP-VSD-10,27/07/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,169.071.872,1.690.718.720.000,số 67/2011/GCNCP-VSD-11,11/10/2019
13,Điều chỉnh lần 12,Đăng ký bổ sung,43.209.027,432.090.270.000,số 67/2011/GCNCP-VSD-12,12/12/2019
14,Điều chỉnh lần 13,Đăng ký bổ sung,64.310.581,643.105.810.000,số 67/2011/GCNCP-VSD-13,06/03/2020
15,Điều chỉnh lần 14,Đăng ký bổ sung,361.714.011,3.617.140.110.000,số 67/2011/GCNCP-VSD-14,05/11/2020
16,Điều chỉnh lần 15,Đăng ký bổ sung,979.564.905,9.795.649.050.000,67/2011/GCNCP-VSD-15,06/08/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.778.321.777,37.783.217.770.000,,
