STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,4.000.000,số 57/2019/GCNCW-VSD,27/11/2019,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-1.600.000,số 57/2019/GCNCW-VSD-1,26/02/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.400.000,,,
