STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.400.000,số 62/2019/GCNCW-VSD,27/12/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.400.000,,,
