STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,500.000.000.000,29/GCN/TTGDHCM-LK,12/01/2006
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.000.000,500.000.000.000,,
