STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 158/2020/GCNCW-VSD,14/10/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.000.000,,,
