STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,15.000.000.000,27/2010/GCNCP-VSD,28/01/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,300.000,3.000.000.000,27/2010/GCNCP-VSD – 1,30/12/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,269.994,2.699.940.000,27/2010/GCNCP-VSD - 2,06/03/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,413.942,4.139.420.000,27/2010/GCNCP-VSD - 3,29/08/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,372.518,3.725.180.000,27/2010/GCNCP-VSD - 4,24/10/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,285.572,2.855.720.000,27/2010/GCNCP-VSD - 5,24/11/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,12.076.630,120.766.300.000,số 27/2010/GCNCP-VSD - 6,27/05/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,1.673.832,16.738.320.000,số 27/2010/GCNCP-VSD - 7,26/08/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,84.284.865,842.848.650.000,số 27/2010/GCNCP-VSD – 8,20/11/2017
10,Điều chỉnh lần 9,Thay đổi tên TCPH,0,0,số 27/2010/GCNCP-VSD-9,27/08/2020
11,Điều chỉnh lần 10,Thay đổi tên TCPH,0,0,27/2010/GCNCP-VSD-10,24/08/2021
12,Điều chỉnh lần 11,Đăng ký bổ sung,5.058.741,50.587.410.000,27/2010/GCNCP-VSD-11,15/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,106.236.094,1.062.360.940.000,,
