STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,4.863.386,48.633.860.000,105/2017/GCNCP-VSD,26/05/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.863.386,48.633.860.000,,
