STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,132.000.000,1.320.000.000.000,101/2007/GCNCP-CNTTLK,30/10/2007
2,Điều chỉnh lần 1,Đăng ký bổ sung,8.260.000,82.600.000.000,56/2008/GCNCP-CNTTLK,05/06/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,56.103.998,561.039.980.000,88/2008/GCNCP-CNTTLK,22/08/2008
4,Điều chỉnh lần 4,Đăng ký bổ sung,98.181.996,981.819.960.000,101/2007/GCNCP-VSD-4,29/06/2010
5,Điều chỉnh lần 5,Đăng ký bổ sung,23.303.766,233.037.660.000,101/2007/GCNCP-VSD-5,15/12/2010
6,Điều chỉnh lần 6,Đăng ký bổ sung,31.361.348,313.613.480.000,101/2007/GCNCP-VSD-6,01/03/2012
7,Điều chỉnh lần 7,Đăng ký bổ sung,69.841.425,698.414.250.000,101/2007/GCNCP-VSD-7,18/12/2012
8,Điều chỉnh lần 8,Đăng ký bổ sung,62.855.642,628.556.420.000,101/2007/GCNCP-VSD -8,23/05/2014
9,Điều chỉnh lần 9,Đăng ký bổ sung,6.735.000,67.350.000.000,101/2007/GCNCP-VSD-9,12/02/2015
10,Điều chỉnh lần 10,Đăng ký bổ sung,244.308.244,2.443.082.440.000,101/2007/GCNCP-VSD-10,11/06/2015
11,Điều chỉnh lần 11,Đăng ký bổ sung,109.923.537,1.099.235.370.000,số 101/2007/GCNCP-VSD-11,14/09/2016
12,Điều chỉnh lần 12,Đăng ký bổ sung,421.380.461,4.213.804.610.000,số 101/2007/GCNCP-VSD-12,14/04/2017
13,Điều chỉnh lần 13,Đăng ký bổ sung,252.823.583,2.528.235.830.000,101/2007/GCNCP-VSD-13,10/08/2017
14,Điều chỉnh lần 14,Đăng ký bổ sung,606.828.166,6.068.281.660.000,số 101/2007/GCNCP-VSD-14,28/06/2018
15,Điều chỉnh lần 15,Đăng ký bổ sung,637.166.949,6.371.669.490.000,số 101/2007/GCNCP-VSD-15,18/06/2019
16,Điều chỉnh lần 16,Đăng ký bổ sung,552.208.544,5.522.085.440.000,số 101/2007/GCNCP-VSD-16,18/08/2020
17,Điều chỉnh lần 17,Đăng ký bổ sung,1.159.640.047,11.596.400.470.000,101/2007/GCNCP-VSD-17,16/06/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.472.922.706,44.729.227.060.000,,
