STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.479.000,14.790.000.000,51/2011/GCNCP-VSD,11/07/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,411.000,4.110.000.000,51/2011/GCNCP-VSD-1,09/10/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,548.100,5.481.000.000,số 51/2011/GCNCP-VSD-2,11/05/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.438.100,24.381.000.000,,
