STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,50.000.000.000,55/2010/GCNCP-VSD,04/03/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.250.000,52.500.000.000,55/2010/GCNCP-VSD -1,07/09/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,9.750.000,97.500.000.000,55/2010/GCNCP-VSD-2,30/12/2010
4,Điều chỉnh lần 3,Thay đổi tên TCPH,0,0,55/2010/GCNCP-VSD-3,24/01/2013
Tổng cộng:,Tổng cộng:,Tổng cộng:,20.000.000,200.000.000.000,,
