STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.528.500,35.285.000.000,119/2010/GCNCP-VSD,17/05/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,105.850,1.058.500.000,119/2010/GCNCP-VSD-1,31/07/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,396.966,3.969.660.000,119/2010/GCNCP-VSD-2,28/03/2013
4,Điều chỉnh lần 3,Đăng ký bổ sung,403.036,4.030.360.000,119/2010/GCNCP-VSD-3,10/09/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,665.141,6.651.410.000,119/2010/GCNCP-VSD-4,15/04/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,50.994,509.940.000,119/2010/GCNCP-VSD-5,09/12/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.575.243,25.752.430.000,119/2010/GCNCP-VSD-6,03/07/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.839.495,38.394.950.000,số 119/2010/GCNCP-VSD-7,21/07/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.607.324,46.073.240.000,119/2010/GCNCP-VSD-8,03/10/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,2.178.802,21.788.020.000,số 119/2010/GCNCP-VSD-9,21/01/2019
11,Điều chỉnh lần 10,Đăng ký bổ sung,2.672.099,26.720.990.000,119/2010/GCNCP-VSD-10,18/10/2021
12,Điều chỉnh lần 11,Đăng ký bổ sung,4.204.456,42.044.560.000,119/2010/GCNCP-VSD-11,30/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,25.227.906,252.279.060.000,,
