STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.000.000,60.000.000.000,43/2006/GCNCP-CNTTLK,24/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,900.000,9.000.000.000,45/2007/GCNCP-CNTTLK,09/07/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.000.000,10.000.000.000,48/2008/GCNCP-CNTTLK,15/05/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,100.000,1.000.000.000,19/2009/GCNCP-CNTTLK,07/05/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.000.000,50.000.000.000,43/2006/GCNCP-CNTTLK-4,04/04/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,7.000.000,70.000.000.000,43/2006/GCNCP-CNTTLK-5,27/01/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,10.000.000,100.000.000.000,số 43/2006/GCNCP-VSD-6,29/04/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,9.000.000,90.000.000.000,43/2006/GCNCP-VSD-7,27/09/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.200.000,12.000.000.000,43/2006/GCNCP-VSD-8,30/07/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,804.000,8.040.000.000,số 43/2006/GCNCP-VSD-9,19/09/2019
11,Điều chỉnh lần 10,Đăng ký bổ sung,8.040.000,80.400.000.000,số 43/2006/GCNCP-VSD-10,20/11/2019
12,Điều chỉnh lần 11,Đăng ký bổ sung,9.806.000,98.060.000.000,43/2006/GCNCP-VSD-11,05/04/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,6.538.889,65.388.890.000,số 43/2006/GCNCP-VSD-12,25/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,65.388.889,653.888.890.000,,
