STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,20.000.000,200.000.000.000,số 93/2018/GCNCP-VSD,02/11/2018
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.949.995,19.499.950.000,số 93/2018/GCNCP-VSD-1,26/08/2020
3,Điều chỉnh lần 2,Đăng ký bổ sung,15.000.000,150.000.000.000,93/2018/GCNCP-VSD-2,15/04/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,36.949.995,369.499.950.000,,
