STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.000.000,90.000.000.000,63/2010/GCNCP-CNVSD,26/03/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.398.620,43.986.200.000,63/2010/GCNCP-VSD-1,06/09/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.345.245,43.452.450.000,số 63/2010/GCNCP-VSD-2,01/03/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,17.743.865,177.438.650.000,,
