STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.032.895,20.328.950.000,192/2010/GCNCP-VSD,06/08/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,325.202,3.252.020.000,192/2010/GCNCP-VSD-1,15/12/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,741.842,7.418.420.000,192/2010/GCNCP-VSD-2,03/08/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,309.921,3.099.210.000,192/2010/GCNCP-VSD-3,27/07/2012
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.409.860,34.098.600.000,,
