STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.144.940,11.449.400.000,02/2014/GCNCP-VSD,07/01/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,572.470,5.724.700.000,02/2014/GCNCP-VSD-1,23/09/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.545.408,15.454.080.000,số 02/2014/GCNCP-VSD-2,24/12/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,3.262.818,32.628.180.000,,
