STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,4.000.000,số 20/2020/GCNCW-VSD,21/01/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.000.000,,,
