STT,Lần đăng ký,Lý do,Số lượng ĐK,Số lượng hủy ĐK,Giá trị ĐK,Giá trị hủy ĐK,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.600.000,0,56.000.000.000,0,04/2020/GCNETF-VSD,27/07/2020
2,Điều chỉnh lần 1,,100.000,0,1.000.000.000,0,số 04/2020/GCNETF-VSD-01,01/09/2020
3,Điều chỉnh lần 2,,100.000,0,1.000.000.000,0,số 04/2020/GCNETF-VSD-02,29/09/2020
4,Điều chỉnh lần 3,,0,-200.000,0,-2.000.000.000,số 04/2020/GCNETF-VSD-03,07/10/2020
5,Điều chỉnh lần 4,,0,-500.000,0,-5.000.000.000,số 04/2020/GCNETF-VSD-04,21/10/2020
6,Điều chỉnh lần 5,,0,-400.000,0,-4.000.000.000,số 04/2020/GCNETF-VSD-05,22/10/2020
7,Điều chỉnh lần 6,,200.000,0,2.000.000.000,0,số 04/2020/GCNETF-VSD-06,23/10/2020
8,Điều chỉnh lần 7,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-07,27/01/2021
9,Điều chỉnh lần 8,,0,-400.000,0,-4.000.000.000,04/2020/GCNETF-VSD-08,16/04/2021
10,Điều chỉnh lần 9,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-09,20/04/2021
11,Điều chỉnh lần 10,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-10,26/04/2021
12,Điều chỉnh lần 11,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-11,11/05/2021
13,Điều chỉnh lần 12,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-12,17/05/2021
14,Điều chỉnh lần 13,,0,-500.000,0,-5.000.000.000,04/2020/GCNETF-VSD-13,27/05/2021
15,Điều chỉnh lần 14,,0,-500.000,0,-5.000.000.000,04/2020/GCNETF-VSD-14,28/05/2021
16,Điều chỉnh lần 15,,0,-300.000,0,-3.000.000.000,04/2020/GCNETF-VSD-15,02/06/2021
17,Điều chỉnh lần 16,,0,-300.000,0,-3.000.000.000,04/2020/GCNETF-VSD-16,16/06/2021
18,Điều chỉnh lần 17,,400.000,0,4.000.000.000,0,04/2020/GCNETF-VSD-17,09/08/2021
19,Điều chỉnh lần 18,,500.000,0,5.000.000.000,0,04/2020/GCNETF-VSD-18,24/08/2021
20,Điều chỉnh lần 19,,300.000,0,3.000.000.000,0,04/2020/GCNETF-VSD-19,31/08/2021
21,Điều chỉnh lần 20,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-20,22/09/2021
22,Điều chỉnh lần 21,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-21,01/10/2021
23,Điều chỉnh lần 22,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-22,14/10/2021
24,Điều chỉnh lần 23,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-23,21/10/2021
25,Điều chỉnh lần 24,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-24,01/11/2021
26,Điều chỉnh lần 25,,0,-700.000,0,-7.000.000.000,04/2020/GCNETF-VSD-25,09/11/2021
27,Điều chỉnh lần 26,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-26,15/11/2021
28,Điều chỉnh lần 27,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-27,23/11/2021
29,Điều chỉnh lần 28,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-28,06/12/2021
30,Điều chỉnh lần 29,,100.000,0,1.000.000.000,0,04/2020/GCNETF-VSD-29,15/02/2022
31,Điều chỉnh lần 30,,0,-400.000,0,-4.000.000.000,04/2020/GCNETF-VSD-30,15/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,9.600.000,-4.200.000,96.000.000.000,-42.000.000.000,,
Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,Tổng khối lượng CCQ đăng ký:,5.400.000,,,,,
Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,Tổng giá trị CCQ đăng ký:,54.000.000.000,,,,,
