STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,7.800.000,780.000.000.000,Số 86/2016/GCNTP-VSD,15/09/2016
2,Điều chỉnh lần 1,Đăng ký bổ sung,52.000.000,5.200.000.000.000,số 86/2016/GCNTP-VSD-1,06/10/2016
3,Điều chỉnh lần 2,Đăng ký bổ sung,5.106.845,510.684.500.000,số 86/2016/GCNTP-VSD-2,10/11/2016
4,Điều chỉnh lần 3,Đăng ký bổ sung,5.000.000,500.000.000.000,số 86/2016/GCNTP-VSD-3,24/11/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.000.000,500.000.000.000,số 86/2016/GCNTP-VSD-4,08/12/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,74.906.845,7.490.684.500.000,,
