STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.128.000,81.280.000.000,78/2007/GCNCP-CNTTLK,12/09/2007
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.669.391,26.693.910.000,26/2010/GCNCP-CNVSD,08/02/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.678.339,46.783.390.000,87/2010/GCNCP-CNVSD,15/06/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.524.270,45.242.700.000,78/2007/GCNCP-VSD-3,14/10/2010
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.899.902,38.999.020.000,78 /2007/GCNCP-VSD-4,16/06/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,3.509.839,35.098.390.000,78 /2007/GCNCP-VSD-5,10/07/2012
7,Điều chỉnh lần 6,Đăng ký bổ sung,13.703.458,137.034.580.000,78/2007/GCNCP-VSD-6,21/01/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.965.727,39.657.270.000,số 78/2007/GCNCP-VSD-07,04/01/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,5.352.341,53.523.410.000,78/2007/GCNCP-VSD-8,30/07/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,7.493.173,74.931.730.000,số 78/2007/GCNCP-VSD-9,08/07/2019
11,Điều chỉnh lần 10,Đăng ký bổ sung,8.591.397,85.913.970.000,78/2007/GCNCP-VSD-10,29/06/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,16.628.037,166.280.370.000,78/2007/GCNCP-VSD-11,26/07/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,3.325.790,33.257.900.000,78/2007/GCNCP-VSD-12,29/10/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,86.469.664,864.696.640.000,,
