STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.625.730,16.257.300.000,80/2006/GCNCP-CNTTLK,20/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.705.481,27.054.810.000,06/2008/GCNCP-CNTTLK,21/01/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.724.635,37.246.350.000,76/2009/GCNCP-CNVSD,12/10/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,3.060.323,30.603.230.000,80/2006/GCNCP-CNVSD-3,24/10/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.115.365,31.153.650.000,số 80/2006/GCNCP-VSD-4,30/11/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.110.899,91.108.990.000,80/2006/GCNCP-VSD-5,06/07/2017
7,Điều chỉnh lần 6,Đăng ký bổ sung,11.670.966,116.709.660.000,số 80/2006/GCNCP-VSD-6,04/05/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,1.731.000,17.310.000.000,số 80/2006/GCNCP-VSD-7,15/08/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,11.022.583,110.225.830.000,80/2006/GCNCP-VSD-08,14/06/2021
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.750.000,17.500.000.000,80/2006/GCNCP-VSD-09,02/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,49.516.982,495.169.820.000,,
