STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,20.000.000.000,19/2006/GCNCP-TTLK,05/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.205.000,12.050.000.000,19/2006/GCNCP-TTLK-1,01/10/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.795.000,17.950.000.000,19/2006/GCNCP-TTLK-2,10/03/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,873.965,8.739.650.000,19/2006/GCNCP-TTLK-3,04/06/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.960.752,19.607.520.000,19/2006/GCNCP-VSD-4,26/10/2009
6,Điều chỉnh lần 5,Đăng ký bổ sung,165.283,1.652.830.000,19/2006/GCNCP-VSD-5,30/09/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,4.000.000,40.000.000.000,19/2006/GCNCP-VSD-6,09/05/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.000.000,30.000.000.000,số 19/2006/GCNCP-VSD-7,14/09/2016
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,số 19/2006/GCNCP-VSD-8,08/04/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,25.000.000,250.000.000.000,19/2006/GCNCP-VSD-9,03/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,40.000.000,400.000.000.000,,
