STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,50.000,500.000.000,số 15CPH/2019/GCNCP-VSD,11/06/2019
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.447.554,14.475.540.000,số 01/2020/GCNCP-VSD,03/01/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.447.554,14.475.540.000,,
