STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,4.235.290,42.352.900.000,215/2016/GCNCP-VSD,28/12/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.235.290,42.352.900.000,,
