STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,8.500.000,37/2022/GCNCW-VSD,15/03/2022,
Tổng cộng:,Tổng cộng:,Tổng cộng:,8.500.000,,,
