STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.000.000,90.000.000.000,số 18/2019/GCNCP-VSD do VSD cấp ngày 06/05/2019,06/05/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,9.000.000,90.000.000.000,,
