STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,23.600.000,236.000.000.000,số 73/2017/GCNCP-VSD,03/04/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,14.798.179,147.981.790.000,số 73/2017/GCNCP-VSD-1,08/04/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,38.398.179,383.981.790.000,,
