STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,số 95/GCNCW-VSD,18/06/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.500.000,,,
