STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,32.485.000,324.850.000.000,số 79/2017/GCNCP-VSD,14/04/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.949.034,19.490.340.000,79/2017/GCNCP-VSD-1,01/08/2017
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.796.158,37.961.580.000,số 79/2017/GCNCP-VSD-2,13/09/2018
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.072.178,40.721.780.000,số 79/2017/GCNCP-VSD-3,12/11/2019
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.992.220,49.922.200.000,số 79/2017/GCNCP-VSD-4,02/10/2020
6,Điều chỉnh lần 5,Đăng ký bổ sung,35.000.000,350.000.000.000,79/2017/GCNCP-VSD-5,23/02/2021
7,Điều chỉnh lần 6,Đăng ký bổ sung,4.914.562,49.145.620.000,79/2017/GCNCP-VSD-6,28/07/2021
8,Điều chỉnh lần 7,Đăng ký bổ sung,87.209.152,872.091.520.000,79/2017/GCNCP-VSD-7,19/01/2022
9,Điều chỉnh lần 8,Đăng ký bổ sung,50.000.000,500.000.000.000,79/2017/GCNCP-VSD-8,29/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,224.418.304,2.244.183.040.000,,
