STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Cấp Giấy chứng nhận đăng ký cổ phiếu trúng đấu giá,314.122,3.141.220.000,01CPH/2018/GCNCP-VSD,09/01/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,314.122,3.141.220.000,,
