STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,34.300.000,343.000.000.000,16/GCN/TTGDHN-LK,09/03/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,32.918.440,329.184.400.000,26/2008/GCNCP-TTLK-1,29/02/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,33.609.218,336.092.180.000,16/2008/GCNCP-VSD-2,04/10/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,30.248.279,302.482.790.000,16/2008/GCNCP-VSD-3,14/08/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,19.661.193,196.611.930.000,16/2008/GCNCP-VSD-4,23/08/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,150.737.130,1.507.371.300.000,,
