STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,6.000.000,27/2022/GCNCW-VSD,22/02/2022,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.000.000,,,
