STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,20.000.000,200.000.000.000,53/2011/GCNCP-VSD do Trung tâm Lưu ký Chứng khoán Việt Nam cấp ngày 18/07/2011,18/07/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,20.000.000,200.000.000.000,,
