STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.705.640,67.056.400.000,30/GCN/TTGDHCM-LK,14/03/2005
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.682.256,26.822.560.000,39/2007/GCNCP-CNTTLK,22/06/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.400.191,24.001.910.000,45/2008/GCNCP-CNTTLK,15/05/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.767.427,17.674.270.000,097/2009/GCNCP-CNVSD,11/10/2009
5,Điều chỉnh lần 4,Thay đổi tên TCPH,0,0,097/2009/GCNCP-VSD-4,05/08/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,13.555.394,135.553.940.000,097/2009/GCNCP-VSD-5,13/04/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.355.539,13.555.390.000,Số 097/2009/GCNCP-VSD-6,11/05/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,4.268.763,42.687.630.000,số 097/2009/GCNCP-VSD-7,02/11/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.908.686,49.086.860.000,số 097/2009/GCNCP-VSD-8,01/08/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,3.763.068,37.630.680.000,số 097/2009/GCNCP-VSD-9,30/08/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,41.406.964,414.069.640.000,,
