STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.200.000,32.000.000.000,60/2006/GCNCP-CNTTLK,22/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,159.955,1.599.550.000,47/2007/GCNCP-CNTTLK,12/07/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.240.000,22.400.000.000,75/2008/GCNCP-CNTTLK,25/07/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.170.000,11.700.000.000,05/2009/GCNCP-CNTTLK,06/02/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.430.045,14.300.450.000,35/2009/GCNCP-CNTTLK,02/07/2009
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.020.000,10.200.000.000,52/2010/GCNCP-CNVSD,02/04/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.280.000,32.800.000.000,88/2010/GCNCP-CNVSD,18/06/2010
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.500.000,25.000.000.000,88/2010/GCNCP/CNVSD-7,15/06/2011
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.446.069,14.460.690.000,60/2006/GCNCP-CNVSD-8,24/07/2012
10,Điều chỉnh lần 9,Đăng ký bổ sung,635.736,6.357.360.000,60/2006/GCNCP-CNVSD-9,29/10/2013
11,Điều chỉnh lần 10,Đăng ký bổ sung,8.000.000,80.000.000.000,60/2006/GCNCP-CNVSD-10,09/04/2015
12,Điều chỉnh lần 11,Đăng ký bổ sung,1.504.035,15.040.350.000,60/2006/GCNCP-VSD-11,02/11/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,26.585.840,265.858.400.000,,
