STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,15.000.000,150.000.000.000,33/2006/GCNCP-TTLK,13/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,30.000.000,300.000.000.000,33/2006/GCNCP-TTLK-1,23/04/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,150.000,1.500.000.000,33/2006/GCNCP-TTLK-2,23/06/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,27.083.937,270.839.370.000,33/2006/GCNCP-VSD-3,17/12/2009
Tổng cộng:,Tổng cộng:,Tổng cộng:,72.233.937,722.339.370.000,,
