STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,số 196/2020/GCNCW-VSD,27/10/2020,
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.000.000,196/2020/GCNCW-VSD-1,19/01/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.000.000,,,
