STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,12.410.800,124.108.000.000,60/2015/GCNCP-VSD,22/07/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,12.410.800,124.108.000.000,,
