STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.500.000,số 50/2019/GCNCW-VSD,11/11/2019,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-300.000,số 50/2019/GCNCW-VSD-1,12/02/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.200.000,,,
