STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,16.000.000,1.600.000.000.000,91/2010/GCNTP-VSD,23/07/2010
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-3.000.000,-300.000.000.000,91/2010/GCNTP-VSD-1,22/10/2012
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-11.000.000,-1.100.000.000.000,91/2010/GCNTP-VSD-2,24/04/2013
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,200.000.000.000,,
