STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.500.000,35.000.000.000,156/2010/GCNCP-VSD,07/07/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,700.000,7.000.000.000,156/2010/GCNCP-VSD-1,27/11/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,999.274,9.992.740.000,số 156/2010/GCNCP-VSD-2,18/10/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.199.274,51.992.740.000,,
