STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.500.000,55.000.000.000,22/2008/GCNCP-TTLK,04/04/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,8.000.000,80.000.000.000,22/2008/GCNCP-VSD-1,02/02/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,21.497.600,214.976.000.000,22/2008/GCNCP-VSD-2,20/09/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,6.999.471,69.994.710.000,22/2008/GCNCP-VSD-3,07/06/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,22.650.420,226.504.200.000,22/2008/GCNCP-VSD-4,26/06/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,20.000.000,200.000.000.000,22/2008/GCNCP-VSD-5,18/04/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,10.000.000,100.000.000.000,22/2008/GCNCP-VSD-6,23/01/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,20.000.000,200.000.000.000,22/2008/GCNCP-VSD-7,27/04/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,13.757.242,137.572.420.000,22/2008/GCNCP-VSD-8,03/07/2015
10,Điều chỉnh lần 9,Đăng ký bổ sung,40.012.683,400.126.830.000,số 22/2008/GCNCP-VSD-9,14/06/2016
11,Điều chỉnh lần 10,Đăng ký bổ sung,7.912.000,79.120.000.000,22/2008/GCNCP-VSD-10,12/10/2016
12,Điều chỉnh lần 11,Đăng ký bổ sung,14.105.497,141.054.970.000,22/2008/GCNCP-VSD-11,14/06/2017
13,Điều chỉnh lần 12,Đăng ký bổ sung,50.000.000,500.000.000.000,22/2008/GCNCP-VSD-12,30/08/2017
14,Điều chỉnh lần 13,Đăng ký bổ sung,10.624.000,106.240.000.000,22/2008/GCNCP-VSD-13,06/10/2017
15,Điều chỉnh lần 14,Đăng ký bổ sung,17.573.052,175.730.520.000,22/2008/GCNCP-VSD-14,20/11/2018
16,Điều chỉnh lần 15,Đăng ký bổ sung,80.000.000,800.000.000.000,22/2008/GCNCP-VSD-15,19/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,348.631.965,3.486.319.650.000,,
