STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.000.000,100.000.000.000,số 206/2017/GCNCP-VSD,01/11/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,100.000.000.000,,
