STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,số 52/2020/GCNCW-VSD,05/05/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-143.030,52/2020/GCNCW-VSD-1,31/07/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,856.970,,,
