STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.995.600,19.956.000.000,32/2008/GCNCP-TTLK,17/07/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,500.000,5.000.000.000,32/2008/GCNCP-VSD-1,15/01/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.500.000,15.000.000.000,32/2008/GCNCP-CNVSD-2,06/12/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,999.942,9.999.420.000,32/2008/GCNCP-VSD-3,02/12/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,299.784,2.997.840.000,32/2008/GCNCP-VSD-4,16/12/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,700.058,7.000.580.000,32/2008/GCNCP-VSD-5,02/04/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,599.767,5.997.670.000,số 32/2008/GCNCP-VSD-6,29/07/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.398.338,33.983.380.000,32/2008/GCNCP-VSD-7,14/07/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.400,44.000.000,32/2008/GCNCP-VSD-8,19/09/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,4.240.000,42.400.000.000,số 32/2008/GCNCP-VSD-9,24/09/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,5.762.111,57.621.110.000,số 32/2008/GCNCP-VSD-10,06/08/2019
12,Điều chỉnh lần 11,Thay đổi tên TCPH,0,0,32/2008/GCNCP-VSD-11,09/04/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,10.000.000,100.000.000.000,32/2008/GCNCP-VSD-12,21/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,30.000.000,300.000.000.000,,
