STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.550.000,555.000.000.000,26/2011/GCNTP-VSD,11/05/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.300.000,530.000.000.000,26/2011/GCNTP-VSD-1,25/05/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.000.000,1.000.000.000.000,26/2011/GCNTP-VSD-2,02/06/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,10.000.000,1.000.000.000.000,26/2011/GCNTP-VSD-3,09/06/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,15.000.000,1.500.000.000.000,26/2011/GCNTP-VSD-4,16/06/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,45.850.000,4.585.000.000.000,,
