STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,117/2021/GCNCW-VSD,24/09/2021,
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,117/2021/GCNCW-VSD-1,05/01/2022,
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.000.000,,,
