STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,7.000.000,số 221/2020/GCNCW-VSD,16/12/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-2.800.000,221/2020/GCNCW-VSD-1,05/02/2021,
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-2.000.000,221/2020/GCNCW-VSD-2,12/03/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.200.000,,,
