STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,192.600.000,1.926.000.000.000,số 68/2019/GCNCP-VSD,27/12/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,192.600.000,1.926.000.000.000,,
