STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,25.000.000,250.000.000.000,395/GCN/TTGDHCM-LK,05/12/2005
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.999.980,49.999.800.000,06/GCNCP-CNTTLK,26/06/2006
3,Điều chỉnh lần 2,Đăng ký bổ sung,5.999.685,59.996.850.000,41/GCNCP-CNTTLK,22/06/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,11.000.000,110.000.000.000,01/2008/GCNCP-CNTTLK,08/01/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,10.115.211,101.152.110.000,87/2008/GCNCP-CNTTLK,25/08/2008
6,Điều chỉnh lần 5,Đăng ký bổ sung,22.431.383,224.313.830.000,129/2009/GCNCP-CNVSD,22/12/2009
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.682.450,16.824.500.000,45/2010/GCNCP-CNVSD,22/03/2010
8,Điều chỉnh lần 7,Đăng ký bổ sung,20.047.879,200.478.790.000,84/2010/GCNCP-CNVSD,08/06/2010
9,Điều chỉnh lần 8,Đăng ký bổ sung,18.241.293,182.412.930.000,395/2005/GCNCP-VSD-8,23/02/2011
10,Điều chỉnh lần 9,Đăng ký bổ sung,14.000.000,140.000.000.000,395/2005/GCNCP-VSD-9,17/02/2012
11,Điều chỉnh lần 10,Đăng ký bổ sung,26.403.744,264.037.440.000,395/2005/GCNCP-VSD-10,15/10/2012
12,Điều chỉnh lần 11,Đăng ký bổ sung,6.601.000,66.010.000.000,395/2005/GCNCP-VSD-11,22/02/2013
13,Điều chỉnh lần 12,Đăng ký bổ sung,1.105.645,11.056.450.000,395/2005/GCNCP-VSD-12,25/07/2013
14,Điều chỉnh lần 13,Đăng ký bổ sung,6.500.000,65.000.000.000,395/2005/GCNCP-VSD-13,19/05/2014
15,Điều chỉnh lần 14,Đăng ký bổ sung,40.000.000,400.000.000.000,395/2005/GCNCP-VSD-14,30/05/2014
16,Điều chỉnh lần 15,Đăng ký bổ sung,42.525.127,425.251.270.000,395/2005/GCNCP-VSD-15,08/10/2014
17,Điều chỉnh lần 16,Thay đổi tên TCPH,0,0,395/2005/GCNCP-VSD-16,20/11/2015
18,Điều chỉnh lần 17,Đăng ký bổ sung,23.087.959,230.879.590.000,số 395/2005/GCNCP-VSD-17,15/01/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,279.741.356,2.797.413.560.000,,
