STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,13.500.000,135.000.000.000,6/2010/GCNCP-CNVSD,15/01/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,6.750.000,67.500.000.000,85/2010/GCNCP-CNVSD,08/06/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,20.249.948,202.499.480.000,85/2010/GCNCP-VSD-2,28/06/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,10.124.974,101.249.740.000,85/2010/GCNCP-VSD-3,17/09/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.062.477,50.624.770.000,85/2010/GCNCP-VSD-4,28/08/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.466.806,94.668.060.000,85/2010/GCNCP-VSD-5,27/08/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.257.679,32.576.790.000,85/2010/GCNCP-VSD-6,10/12/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,651.540,6.515.400.000,số 85/2010/GCNCP-VSD-7,15/03/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,6.904.656,69.046.560.000,số 85/2010/GCNCP-VSD-8,22/09/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,18.983.956,189.839.560.000,số 85/2010/GCNCP-VSD-9,04/10/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,23.729.253,237.292.530.000,số 85/2010/GCNCP-VSD-10,26/06/2019
12,Điều chỉnh lần 11,Đăng ký bổ sung,35.593.729,355.937.290.000,số 85/2010/GCNCP-VSD-11,08/07/2020
13,Điều chỉnh lần 12,Đăng ký bổ sung,9.356.700,93.567.000.000,85/2010/GCNCP-VSD-12,02/08/2021
14,Điều chỉnh lần 13,Đăng ký bổ sung,32.725.697,327.256.970.000,85/2010/GCNCP-VSD-13,14/01/2022
15,Điều chỉnh lần 14,Đăng ký bổ sung,7.481.400,74.814.000.000,85/2010/GCNCP-VSD-14,02/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,203.838.815,2.038.388.150.000,,
