STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.000.000,80.000.000.000,69/2006/GCNCP-CNTTLK,18/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,20.000.000.000,68/2007/GCNCP-CNTTLK,17/08/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.000.000,100.000.000.000,129/2007/GCNCP-CNTTLK,11/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,6.662.962,66.629.620.000,115/2009/GCNCP-CNVSD,09/12/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,250.000,2.500.000.000,69/2006/GCNCP-VSD-4,16/09/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,250.000,2.500.000.000,69/2006/GCNCP-VSD-5,10/06/2011
7,Điều chỉnh lần 6,Đăng ký bổ sung,38.013.467,380.134.670.000,69/2006/GCNCP-VSD-6,03/08/2011
8,Điều chỉnh lần 7,Đăng ký bổ sung,200.000,2.000.000.000,69/2006/GCNCP-VSD-7,25/06/2012
9,Điều chỉnh lần 8,Đăng ký bổ sung,21.787.901,217.879.010.000,69/2006/GCNCP-VSD-8,27/06/2014
10,Điều chỉnh lần 9,Đăng ký bổ sung,43.581.741,435.817.410.000,69/2006/GCNCP-VSD-9,20/06/2017
Tổng cộng:,Tổng cộng:,Tổng cộng:,130.746.071,1.307.460.710.000,,
