STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,12.000.000,120.000.000.000,số 224/2017/GCNCP-VSD,11/12/2017
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.000.000,30.000.000.000,số 224/2017/GCNCP-VSD-1,05/04/2019
3,Điều chỉnh lần 2,Đăng ký bổ sung,9.000.000,90.000.000.000,số 224/2017/GCNCP-VSD-2,31/10/2019
4,Điều chỉnh lần 3,Đăng ký bổ sung,3.599.932,35.999.320.000,số 224/2017/GCNCP-VSD-3,13/01/2020
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.379.873,13.798.730.000,số 224/2017/GCNCP-VSD-4,09/11/2020
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.200.000,12.000.000.000,số 224/2017/GCNCP-VSD-5,23/11/2020
7,Điều chỉnh lần 6,Thay đổi tên TCPH,0,0,số: 224/2017/GCNCP-VSD-6,24/12/2020
8,Điều chỉnh lần 7,Đăng ký bổ sung,50.000.000,500.000.000.000,224/2017/GCNCP-VSD-7,17/03/2021
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.008.881,40.088.810.000,224/2017/GCNCP-VSD-8,18/11/2021
10,Điều chỉnh lần 9,Đăng ký bổ sung,4.000.000,40.000.000.000,số 224/2017/GCNCP-VSD-9,09/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,88.188.686,881.886.860.000,,
