STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,5.000.000,số 218/2020/GCNCW-VSD,14/12/2020,
2,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-2.500.000,218/2020/GCNCW-VSD-1,25/02/2021,
3,Điều chỉnh lần 2,Đăng ký hủy 1 phần,-1.500.000,218/2020/GCNCW-VSD-2,10/06/2021,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.000.000,,,
