STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.000.000,90.000.000.000,20/2011/GCNCP-VSD,17/03/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.020.000,10.200.000.000,20/2011/GCNCP-VSD-1,19/08/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.526.720,15.267.200.000,20/2011/GCNCP-VSD-2,21/08/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.618.552,46.185.520.000,20/2011/GCNCP-VSD-3,29/12/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,16.165.272,161.652.720.000,20/2011/GCNCP-VSD-4,22/06/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.806.450,98.064.500.000,số 20/2011/GCNCP-VSD-5,03/02/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,5.795.404,57.954.040.000,số 20/2011/GCNCP-VSD-6,01/08/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,14.379.157,143.791.570.000,số 20/2011/GCNCP-VSD-7,04/09/2020
9,Điều chỉnh lần 8,Đăng ký bổ sung,9.346.381,93.463.810.000,20/2011/GCNCP-VSD-8,27/09/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,71.657.936,716.579.360.000,,
