STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.000.000,10.000.000.000,67/2006/GCNCP-CNTTLK,21/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.000.000,20.000.000.000,01/2008/GCNCP-CNTTLK,08/01/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.530.510,45.305.100.000,08/2009/GCNCP-CNTTLK,10/02/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,753.051,7.530.510.000,37/2009/GCNCP-CNTTLK,06/07/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,6.867.158,68.671.580.000,67/2006/GCNCP-VSD-4,15/11/2013
6,Cấp lần đầu,Thay đổi tên TCPH,0,0,67/2006/GCNCP-VSD-5,29/08/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,7.366.236,73.662.360.000,67/2006/GCNCP-VSD-6,15/09/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,35.700.000,357.000.000.000,67/2006/GCNCP-VSD-7,23/01/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,14.637.810,146.378.100.000,67/2006/GCNCP-VSD-8,24/02/2015
10,Điều chỉnh lần 9,Đăng ký bổ sung,120.000.000,1.200.000.000.000,67/2006/GCNCP-VSD-9,16/09/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,192.854.765,1.928.547.650.000,,
