STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,45.000.000,450.000.000.000,37/2006/GCNCP-CNTTLK,08/11/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,5.000.000,50.000.000.000,04/2007/GCNCP-CNTTLK,31/01/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,10.000.000,100.000.000.000,75/2006/GCNCP-CNTTLK,03/04/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,20.000.000,200.000.000.000,73/2007/GCNCP-CNTTLK,21/08/2007
5,Điều chỉnh lần 4,Đăng ký bổ sung,20.000.000,200.000.000.000,05/2008/GCNCP-CNTTLK,11/01/2008
6,Điều chỉnh lần 5,Đăng ký bổ sung,14.999.730,149.997.300.000,31/2008/GCNCP-CNTTLK,12/03/2008
7,Điều chỉnh lần 6,Đăng ký bổ sung,17.245.034,172.450.340.000,117/2008/GCNCP-CNTTLK,23/12/2008
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.662.183,36.621.830.000,07/2009/GCNCP-CNTTLK,16/02/2009
9,Điều chỉnh lần 8,Đăng ký bổ sung,67.936.281,679.362.810.000,39/2009/GCNCP-CNTTLK,13/07/2009
10,Điều chỉnh lần 9,Đăng ký bổ sung,2.104.564,21.045.640.000,102/2009/GCNCP-CNTTLK,16/11/2009
11,Điều chỉnh lần 10,Đăng ký bổ sung,7.500.000,75.000.000.000,71/2010/GCNCP-CNTTLK,17/05/2010
12,Điều chỉnh lần 11,Đăng ký bổ sung,127.827.773,1.278.277.730.000,117/2010/GCNCP-CNTTLK,11/08/2010
13,Điều chỉnh lần 12,Đăng ký bổ sung,1.287.000,12.870.000.000,37/2006/GCNCP-CNVSD-12,31/05/2011
14,Điều chỉnh lần 13,Đăng ký bổ sung,102.592.644,1.025.926.440.000,37/2006/GCNCP-CNVSD-13,22/05/2012
15,Điều chỉnh lần 14,Đăng ký bổ sung,115.678.032,1.156.780.320.000,37/2006/GCNCP-CNVSD-14,22/03/2013
16,Điều chỉnh lần 15,Đăng ký bổ sung,1.999.624,19.996.240.000,37/2006/GCNCP-CNVSD-15,28/06/2013
17,Điều chỉnh lần 16,Đăng ký bổ sung,56.215.046,562.150.460.000,37/2006/GCNCP-CNVSD-16,20/08/2013
18,Điều chỉnh lần 17,Đăng ký bổ sung,100.000.000,1.000.000.000.000,37/2006/GCNCP-CNVSD-17,13/02/2014
19,Điều chỉnh lần 18,Đăng ký bổ sung,119.376.938,1.193.769.380.000,37/2006/GCNCP-CNVSD-18,09/03/2015
20,Điều chỉnh lần 19,Đăng ký bổ sung,100.038.758,1.000.387.580.000,số 37/2006/GCNCP-VSD-19,08/07/2016
Tổng cộng:,Tổng cộng:,Tổng cộng:,938.463.607,9.384.636.070.000,,
