STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,7.000.000,70.000.000.000,15/2008/GCNCP-TTLK,26/02/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.450.000,24.500.000.000,15/2008/GCNCP-TTLK-1,16/06/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,8.250.000,82.500.000.000,15/2008/GCNCP-TTLK-2,18/05/2009
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.116.660,11.166.600.000,15/2008/GCNCP-TTLK-3,01/09/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,6.630.000,66.300.000.000,15/2008/GCNCP-TTLK-4,21/12/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,18.164.440,181.644.400.000,15/2008/GCNCP-VSD-5,01/04/2011
7,Điều chỉnh lần 6,Thay đổi tên TCPH,0,0,15/2008/GCNCP-VSD-6,19/04/2011
8,Điều chỉnh lần 7,Đăng ký bổ sung,4.798.860,47.988.600.000,15/2008/GCNCP-VSD-7,10/04/2012
9,Điều chỉnh lần 8,Đăng ký bổ sung,14.331.963,143.319.630.000,15/2008/GCNCP-VSD-8,25/03/2013
10,Điều chỉnh lần 9,Đăng ký bổ sung,12.548.036,125.480.360.000,15/2008/GCNCP-VSD-9,25/03/2016
11,Điều chỉnh lần 10,Đăng ký bổ sung,7.528.506,75.285.060.000,số 15/2008/GCNCP-VSD-10,14/04/2017
12,Điều chỉnh lần 11,Đăng ký bổ sung,8.281.363,82.813.630.000,số 15/2008/GCNCP-VSD-11,06/05/2019
13,Điều chỉnh lần 12,Đăng ký bổ sung,13.664.083,136.640.830.000,số 15/2008/GCNCP-VSD-12,05/05/2020
14,Điều chỉnh lần 13,Đăng ký bổ sung,10.475.519,104.755.190.000,15/2008/GCNCP-VSD-13,30/06/2021
15,Điều chỉnh lần 14,Đăng ký bổ sung,115.239.430,1.152.394.300.000,15/2008/GCNCP-VSD-14,05/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,230.478.860,2.304.788.600.000,,
