STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,10.559.996,105.599.960.000,067/2009/GCNCP-CNVSD,01/09/2009
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.559.996,105.599.960.000,,
