STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Điều chỉnh lần 1,Đăng ký hủy 1 phần,-960.000,số 64/2019/GCNCW-VSD-1,26/03/2019,
2,Cấp lần đầu,Đăng ký lần đầu,2.400.000,số 64/2019/GCNCW-VSD,27/12/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.440.000,,,
