STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,19.000.000,190.000.000.000,104/2008/GCN-CNVSD,22/10/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,13.800.000,138.000.000.000,27/2010/GCNCP-CNVSD,08/02/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.659.293,16.592.930.000,104/2008/GCNCP-VSD/2,05/04/2011
Tổng cộng:,Tổng cộng:,Tổng cộng:,34.459.293,344.592.930.000,,
