STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.300.000,13.000.000.000,145CN/TTGDHCM-LK,07/07/2005
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.250.000,12.500.000.000,07/2007/GCNCP-CNTTLK,13/02/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,750.000,7.500.000.000,14/2007/GCNCP-CNTTLK,04/04/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,4.700.000,47.000.000.000,98/2009/GCNCP-CNVSD,11/11/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.104.777,21.047.770.000,98/2009/GCNCP-CNVSD-4,01/07/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.487.390,24.873.900.000,98/2009/GCNCP-VSD-5,14/07/2017
7,Điều chỉnh lần 6,Đăng ký bổ sung,17.023.120,170.231.200.000,số 98/2009/GCNCP-VSD-6,13/12/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,512.009,5.120.090.000,số 98/2009/GCNCP-VSD-7,19/12/2018
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.466.764,44.667.640.000,số 98/2009/GCNCP-VSD-8,03/07/2019
10,Điều chỉnh lần 9,Đăng ký bổ sung,5.136.824,51.368.240.000,số 98/2009/GCNCP-VSD-9,10/09/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,9.845.380,98.453.800.000,98/2009/GCNCP-VSD-10,11/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,49.576.264,495.762.640.000,,
