STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,6.000.000,số 35/2020/GCNCW-VSD,13/02/2020,
Tổng cộng:,Tổng cộng:,Tổng cộng:,6.000.000,,,
